RMS,MEAN,STDev,VARIANCE,KURTOSIS,CLASS
1.0132,0.21747,0.98962,0.97935,3.0134,1
1.0103,0.21454,0.98731,0.97478,2.9966,1
1.0075,0.21104,0.98515,0.97051,2.9865,1
1.011,0.21423,0.98804,0.97623,3.027,1
1.5835,0.76441,1.3868,1.9232,3.0174,1
1.5841,0.76514,1.3871,1.924,3.0334,1
1.5816,0.76187,1.386,1.921,3.0439,1
1.5803,0.76349,1.3836,1.9144,3.0407,1
1.5818,0.76404,1.3851,1.9184,3.006,1
1.5831,0.76379,1.3866,1.9227,3.029,1
1.5617,0.76555,1.3612,1.853,3.0214,1
1.5634,0.76394,1.3641,1.8607,2.9997,1
1.5641,0.76039,1.3668,1.8681,3.0055,1
1.5587,0.761,1.3603,1.8503,3.0121,1
1.554,0.75988,1.3556,1.8376,2.9952,1
1.5585,0.76463,1.358,1.8442,2.9944,1
1.4416,0.76808,1.22,1.4884,3.0147,1
1.4466,0.76784,1.226,1.5031,3.0249,1
1.449,0.77173,1.2264,1.5041,3.0163,1
1.4493,0.76929,1.2283,1.5087,2.99,1
1.4481,0.77182,1.2253,1.5013,2.9895,1
1.4464,0.77231,1.2229,1.4955,3.003,1
1.6894,0.721,1.5278,2.3341,2.9705,1
1.6916,0.72448,1.5287,2.3368,2.9347,1
1.6936,0.72111,1.5324,2.3484,2.95,1
1.6957,0.72271,1.534,2.3532,2.9716,1
1.6949,0.72532,1.5319,2.3467,2.9593,1
